,0
0,300003.SZ
1,300004.SZ
2,300005.SZ
3,300007.SZ
4,300009.SZ
5,300013.SZ
6,300016.SZ
7,300017.SZ
8,300018.SZ
9,300019.SZ
10,300022.SZ
11,300024.SZ
12,300025.SZ
13,300027.SZ
14,300029.SZ
15,300031.SZ
16,300034.SZ
17,300035.SZ
18,300036.SZ
19,300042.SZ
20,300043.SZ
21,300044.SZ
22,300047.SZ
23,300048.SZ
24,300050.SZ
25,300055.SZ
26,300071.SZ
27,300073.SZ
28,300074.SZ
29,300078.SZ
30,300079.SZ
31,300080.SZ
32,300085.SZ
33,300087.SZ
34,300089.SZ
35,300092.SZ
36,300093.SZ
37,300094.SZ
38,300095.SZ
39,300096.SZ
40,300101.SZ
41,300102.SZ
42,300103.SZ
43,300107.SZ
44,300110.SZ
45,300113.SZ
46,300115.SZ
47,300119.SZ
48,300122.SZ
49,300126.SZ
50,300127.SZ
51,300129.SZ
52,300132.SZ
53,300134.SZ
54,300139.SZ
55,300141.SZ
56,300142.SZ
57,300143.SZ
58,300144.SZ
59,300152.SZ
60,300154.SZ
61,300155.SZ
62,300157.SZ
63,300159.SZ
64,300161.SZ
65,300163.SZ
66,300164.SZ
67,300170.SZ
68,300172.SZ
69,300173.SZ
70,300174.SZ
71,300175.SZ
72,300181.SZ
73,300184.SZ
74,300185.SZ
75,300194.SZ
76,300196.SZ
77,300199.SZ
78,300205.SZ
79,300216.SZ
80,300217.SZ
81,300219.SZ
82,300221.SZ
83,300222.SZ
84,300224.SZ
85,300226.SZ
86,300231.SZ
87,300233.SZ
88,300240.SZ
89,300241.SZ
90,300245.SZ
91,300247.SZ
92,300250.SZ
93,300251.SZ
94,300252.SZ
95,300259.SZ
96,300260.SZ
97,300261.SZ
98,300262.SZ
99,300275.SZ
100,300280.SZ
101,300284.SZ
102,300286.SZ
103,300288.SZ
104,300289.SZ
105,300292.SZ
106,300295.SZ
107,300297.SZ
108,300315.SZ
109,300316.SZ
110,300320.SZ
111,300322.SZ
112,300326.SZ
113,300327.SZ
114,300328.SZ
115,300329.SZ
116,300334.SZ
117,300337.SZ
118,300339.SZ
119,300340.SZ
120,300342.SZ
121,300344.SZ
122,300352.SZ
123,300353.SZ
124,300356.SZ
125,300358.SZ
126,300359.SZ
127,300364.SZ
128,300366.SZ
129,300367.SZ
130,300369.SZ
131,300374.SZ
132,300375.SZ
133,300376.SZ
134,300377.SZ
135,300378.SZ
136,300380.SZ
137,300382.SZ
138,300386.SZ
139,300387.SZ
140,300389.SZ
141,300390.SZ
142,300392.SZ
143,300393.SZ
144,300396.SZ
145,300403.SZ
146,300407.SZ
147,300408.SZ
148,300410.SZ
149,300412.SZ
150,300414.SZ
151,300416.SZ
152,300417.SZ
153,300418.SZ
154,300425.SZ
155,300426.SZ
156,300427.SZ
157,300429.SZ
158,300430.SZ
159,300432.SZ
160,300434.SZ
161,300435.SZ
162,300440.SZ
163,300450.SZ
164,300454.SZ
165,300456.SZ
166,300457.SZ
167,300458.SZ
168,300463.SZ
169,300466.SZ
170,300470.SZ
171,300471.SZ
172,300473.SZ
173,300474.SZ
174,300476.SZ
175,300480.SZ
176,300481.SZ
177,300483.SZ
178,300486.SZ
179,300490.SZ
180,300493.SZ
181,300495.SZ
182,300496.SZ
183,300498.SZ
184,300500.SZ
185,300502.SZ
186,300506.SZ
187,300507.SZ
188,300508.SZ
189,300509.SZ
190,300511.SZ
191,300513.SZ
192,300515.SZ
193,300518.SZ
194,300520.SZ
195,300522.SZ
196,300525.SZ
197,300526.SZ
198,300529.SZ
199,300533.SZ
200,300534.SZ
201,300535.SZ
202,300536.SZ
203,300540.SZ
204,300542.SZ
205,300546.SZ
206,300549.SZ
207,300553.SZ
208,300555.SZ
209,300562.SZ
210,300563.SZ
211,300567.SZ
212,300570.SZ
213,300571.SZ
214,300575.SZ
215,300576.SZ
216,300580.SZ
217,300581.SZ
218,300582.SZ
219,300589.SZ
220,300591.SZ
221,300592.SZ
222,300595.SZ
223,300597.SZ
224,300599.SZ
225,300601.SZ
226,300602.SZ
227,300604.SZ
228,300605.SZ
229,300606.SZ
230,300612.SZ
231,300616.SZ
232,300617.SZ
233,300619.SZ
234,300620.SZ
235,300621.SZ
236,300622.SZ
237,300623.SZ
238,300627.SZ
239,300629.SZ
240,300633.SZ
241,300636.SZ
242,300638.SZ
243,300643.SZ
244,300644.SZ
245,300648.SZ
246,300649.SZ
247,300654.SZ
248,300655.SZ
249,300658.SZ
250,300659.SZ
251,300661.SZ
252,300662.SZ
253,300666.SZ
254,300672.SZ
255,300673.SZ
256,300677.SZ
257,300682.SZ
258,300687.SZ
259,300688.SZ
260,300689.SZ
261,300691.SZ
262,300695.SZ
263,300697.SZ
264,300701.SZ
265,300709.SZ
266,300712.SZ
267,300713.SZ
268,300716.SZ
269,300717.SZ
270,300718.SZ
271,300719.SZ
272,300721.SZ
273,300722.SZ
274,300723.SZ
275,300729.SZ
276,300730.SZ
277,300731.SZ
278,300735.SZ
279,300737.SZ
280,300738.SZ
281,300741.SZ
