,WINDCODE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,MA_13,MA_28
2019-07-22,688001.SH,55.4,72.02,39.59,55.5,29010753.999999996,1507397620.0,,
2019-07-23,688001.SH,46.92,52.65,45.01,48.73,10060618.0,495988667.0,,
2019-07-24,688001.SH,48.9,52.18,48.9,51.52,9698629.0,492116068.0,,
2019-07-25,688001.SH,52.78,57.42,52.7,54.71,13056123.0,718997834.0,,
2019-07-26,688001.SH,54.0,54.0,50.01,50.66,8174241.0,423353221.0,,
2019-07-29,688001.SH,51.4,55.85,51.4,55.48,10904898.0,590086172.0,,
2019-07-30,688001.SH,55.4,59.87,53.39,56.79,13962223.000000002,794250429.0,,
2019-07-31,688001.SH,57.02,59.69,55.58,58.59,11634422.0,674971907.0,,
2019-08-01,688001.SH,57.9,70.31,57.0,68.49,19280785.0,1220204571.0,,
2019-08-02,688001.SH,65.68,78.58,65.27,69.92,20888101.0,1501009164.0,,
2019-08-05,688001.SH,72.0,73.56,65.18,72.25,13140106.0,934782819.0,,
2019-08-06,688001.SH,70.0,77.9,60.88,67.22,17193269.0,1255309612.0,,
2019-08-07,688001.SH,68.52,77.0,67.35,76.6,18913182.0,1373869313.0,60.49692307692308,
2019-08-08,688001.SH,74.0,75.6,68.8,69.03,14610621.0,1046579429.0,61.53769230769231,
2019-08-09,688001.SH,69.45,69.52,63.6,64.85,10069457.0,664778082.0,62.777692307692305,
2019-08-12,688001.SH,64.39,65.0,58.06,60.95,8623478.0,529989150.99999994,63.50307692307692,
2019-08-13,688001.SH,60.95,64.55,60.95,64.55,8608639.0,541258109.0,64.26,
2019-08-14,688001.SH,65.65,67.79,64.06,64.9,9278205.0,613226165.0,65.35538461538462,
2019-08-15,688001.SH,62.5,66.45,61.8,66.05,8955446.0,578893920.0,66.16846153846153,
2019-08-16,688001.SH,66.1,66.9,64.13,65.9,7230239.999999999,475287427.0,66.86923076923077,
2019-08-19,688001.SH,65.71,66.2,63.19,64.5,5854995.0,378424597.0,67.32384615384616,
2019-08-20,688001.SH,64.5,65.13,63.39,63.39,4259229.0,272852350.0,66.93153846153847,
2019-08-21,688001.SH,63.39,63.62,57.4,57.81,7708557.000000001,461257608.0,66.0,
2019-08-22,688001.SH,57.87,59.58,55.55,58.5,6131559.0,355385369.0,64.94230769230771,
2019-08-23,688001.SH,58.16,59.26,52.1,54.03,7147457.000000001,397417234.0,63.92769230769231,
2019-08-26,688001.SH,53.56,56.2,53.35,55.06,4487523.0,246550811.0,62.27076923076924,
2019-08-27,688001.SH,55.31,55.5,53.53,55.11,4049011.0,220886151.0,61.199999999999996,
2019-08-28,688001.SH,54.8,55.46,53.3,53.3,3721101.9999999995,201854802.0,60.31153846153846,60.87107142857143
2019-08-29,688001.SH,53.03,53.45,50.41,52.24,6042955.0,312983956.0,59.64153846153845,60.75464285714286
2019-08-30,688001.SH,52.53,52.88,51.45,51.85,3523051.9999999995,183844085.0,58.664615384615374,60.86607142857143
2019-09-02,688001.SH,51.88,52.5,51.49,52.23,2681144.0,139607816.0,57.690000000000005,60.89142857142857
2019-09-03,688001.SH,52.25,56.99,52.02,55.77,7360884.0,406306652.0,56.899230769230776,60.92928571428571
2019-09-04,688001.SH,55.88,58.58,55.13,56.02,7073946.000000001,403599125.0,56.13923076923077,61.12071428571427
2019-09-05,688001.SH,55.79,56.78,55.25,56.26,5211234.0,292236636.0,55.50538461538462,61.14857142857142
2019-09-06,688001.SH,55.8,56.64,53.36,53.53,4635476.0,254708380.0,54.74692307692308,61.03214285714285
2019-09-09,688001.SH,53.57,54.85,53.57,54.22,2817886.0,152718242.0,54.47076923076924,60.87607142857143
2019-09-10,688001.SH,54.22,56.26,54.19,54.98,3619426.0,200640606.0,54.199999999999996,60.39357142857142
2019-09-11,688001.SH,54.7,56.2,54.25,55.35,3970704.0,220420864.0,54.30153846153847,59.873214285714276
2019-09-12,688001.SH,55.6,56.0,53.18,53.38,3585744.0,193151106.0,54.17230769230769,59.1992857142857
2019-09-16,688001.SH,53.56,54.45,53.56,53.84,1852729.0,99954381.0,54.07461538461538,58.72142857142857
2019-09-17,688001.SH,53.9,54.19,51.88,52.15,2492085.0,131676864.0,53.98615384615384,57.848214285714285
2019-09-18,688001.SH,52.66,52.88,50.56,51.37,2664138.0,136440677.0,53.91923076923077,57.21750000000001
2019-09-19,688001.SH,51.41,53.2,50.88,52.39,3046155.0,159933637.0,53.96076923076923,56.7725
2019-09-20,688001.SH,52.14,52.95,51.57,52.1,1787668.0,93112125.0,53.95076923076923,56.45642857142858
2019-09-23,688001.SH,52.0,52.8,51.57,51.93,1864952.0,97215838.0,53.65538461538461,56.00571428571429
2019-09-24,688001.SH,52.3,56.22,52.02,56.2,6581700.0,356900794.0,53.66923076923077,55.695
2019-09-25,688001.SH,56.2,57.32,53.9,53.95,4875978.0,270289280.0,53.49153846153846,55.262857142857136
2019-09-26,688001.SH,53.88,54.0,49.45,49.46,5146769.0,260876112.0,53.17846153846154,54.67571428571428
2019-09-27,688001.SH,49.1,51.59,49.0,50.44,2461936.0,123891294.0,52.88769230769231,54.17357142857143
2019-09-30,688001.SH,50.8,50.8,46.51,47.09,2958976.0,142135697.0,52.28076923076924,53.59142857142856
2019-10-08,688001.SH,47.02,47.5,45.55,45.79,1709709.0,79017222.0,51.54538461538462,53.16214285714285
2019-10-09,688001.SH,45.51,46.9,45.51,46.38,1268842.0,58882206.0,51.00692307692308,52.72928571428571
2019-10-10,688001.SH,46.41,47.77,46.41,47.12,1893720.0,89289909.0,50.49,52.482499999999995
2019-10-11,688001.SH,47.46,47.46,46.43,46.48,1485848.0,69496064.0,50.05384615384615,52.176071428571426
2019-10-14,688001.SH,46.6,47.36,46.0,46.97,1818325.0,85156599.0,49.715384615384615,51.88535714285714
2019-10-15,688001.SH,46.9,47.3,45.89,45.94,1417680.0,66017450.0,49.21923076923076,51.622499999999995
2019-10-16,688001.SH,45.95,46.43,43.74,44.05,2490552.0,111706927.0,48.60000000000001,51.33
2019-10-17,688001.SH,43.92,44.11,42.5,43.32,1920461.0,83346197.0,47.93769230769231,51.025357142857146
2019-10-18,688001.SH,43.4,45.2,43.31,43.93,2508961.0,111663610.0,46.99384615384616,50.728928571428575
2019-10-21,688001.SH,43.69,43.69,40.66,41.81,2525663.0,105465776.0,46.059999999999995,50.230357142857144
2019-10-22,688001.SH,42.0,42.9,41.71,42.15,1329242.0,56187568.0,45.49769230769231,49.73500000000001
2019-10-23,688001.SH,42.19,45.39,41.82,44.83,3636490.0,159599540.0,45.066153846153846,49.32678571428572
2019-10-24,688001.SH,44.02,45.29,43.8,44.0,2651057.0,118122820.0,44.82846153846154,48.986428571428576
2019-10-25,688001.SH,43.96,44.44,42.43,42.85,1694759.0,73189400.0,44.6023076923077,48.58035714285715
2019-10-28,688001.SH,42.57,44.15,42.57,43.83,1783174.0000000002,77682250.0,44.406153846153856,48.182142857142864
2019-10-29,688001.SH,43.01,43.49,41.57,41.75,2482142.0,105612271.0,43.99307692307692,47.69642857142858
2019-10-30,688001.SH,41.6,42.11,39.8,40.4,1954380.0,80151116.0,43.52538461538462,47.23285714285715
2019-10-31,688001.SH,40.2,40.5,38.55,38.61,2070491.9999999998,81174006.0,42.88230769230769,46.688928571428576
2019-11-01,688001.SH,38.55,39.46,38.55,38.95,1313388.0,51214936.0,42.34461538461538,46.217499999999994
2019-11-04,688001.SH,39.19,40.08,39.05,39.11,1188294.0,46873557.0,41.964615384615385,45.77964285714286
2019-11-05,688001.SH,39.11,39.33,37.22,37.57,1986913.0,75104530.0,41.52230769230769,45.25035714285714
2019-11-06,688001.SH,37.85,37.92,35.81,36.02,2380984.0,87476401.0,40.913846153846144,44.67607142857143
2019-11-07,688001.SH,36.03,36.56,35.21,35.85,1868362.0,67125115.0,40.45538461538461,44.10178571428572
2019-11-08,688001.SH,35.85,36.84,35.71,36.14,1800141.9999999998,65428456.0,39.99307692307692,43.38535714285714
2019-11-11,688001.SH,36.05,36.05,33.08,33.33,2257402.0,76648797.0,39.10846153846153,42.64892857142858
2019-11-12,688001.SH,33.33,33.59,32.73,33.08,1487461.0,49183555.0,38.26846153846154,42.06392857142857
2019-11-13,688001.SH,33.01,34.02,32.88,33.21,1384028.0,46228862.0,37.526923076923076,41.44857142857143
2019-11-14,688001.SH,32.81,34.29,32.38,33.55,2098427.0,70162563.0,36.73615384615385,40.964999999999996
2019-11-15,688001.SH,33.5,34.49,33.01,33.58,1703915.0000000002,57689248.0,36.107692307692304,40.52892857142858
2019-11-18,688001.SH,33.81,34.3,33.32,33.51,1059958.0,35744441.0,35.57769230769231,40.06928571428572
2019-11-19,688001.SH,33.41,34.08,33.25,34.02,1383507.0,46870336.0,35.22461538461538,39.60142857142858
2019-11-20,688001.SH,34.0,34.23,33.02,33.17,1364384.0,45903828.0,34.78,39.12607142857143
2019-11-21,688001.SH,33.14,33.16,31.71,31.91,1586833.0,51398825.0,34.22615384615385,38.58821428571429
