,code,star
880,688169.SH,5.0
543,300552.SZ,5.0
411,300417.SZ,5.0
762,300782.SZ,5.0
120,300122.SZ,5.0
815,300841.SZ,5.0
798,300822.SZ,5.0
809,300833.SZ,5.0
895,688228.SH,5.0
792,300816.SZ,5.0
743,300761.SZ,5.0
617,300628.SZ,5.0
901,688298.SH,5.0
890,688200.SH,5.0
670,300682.SZ,5.0
491,300498.SZ,5.0
690,300702.SZ,5.0
521,300529.SZ,5.0
808,300832.SZ,5.0
756,300776.SZ,5.0
791,300815.SZ,5.0
771,300792.SZ,5.0
892,688208.SH,5.0
353,300357.SZ,5.0
619,300630.SZ,5.0
15,300016.SZ,5.0
930,688566.SH,5.0
752,300771.SZ,5.0
797,300821.SZ,5.0
585,300595.SZ,5.0
854,688085.SH,5.0
742,300760.SZ,5.0
894,688222.SH,5.0
875,688157.SH,5.0
751,300770.SZ,5.0
847,688051.SH,5.0
567,300577.SZ,5.0
896,688233.SH,5.0
886,688189.SH,5.0
812,300837.SZ,5.0
931,688588.SH,5.0
831,688016.SH,5.0
928,688555.SH,5.0
647,300659.SZ,5.0
550,300559.SZ,5.0
343,300347.SZ,5.0
844,688036.SH,5.0
711,300725.SZ,5.0
719,300735.SZ,5.0
591,300601.SZ,5.0
917,688388.SH,5.0
412,300418.SZ,5.0
839,688026.SH,5.0
32,300033.SZ,5.0
395,300401.SZ,5.0
920,688398.SH,5.0
885,688188.SH,5.0
905,688312.SH,5.0
130,300132.SZ,5.0
923,688505.SH,5.0
621,300632.SZ,5.0
563,300572.SZ,5.0
592,300602.SZ,5.0
800,300824.SZ,5.0
455,300462.SZ,5.0
134,300136.SZ,5.0
796,300820.SZ,5.0
2,300003.SZ,5.0
764,300785.SZ,5.0
14,300015.SZ,5.0
912,688363.SH,5.0
105,300107.SZ,5.0
13,300014.SZ,5.0
778,300800.SZ,5.0
922,688466.SH,5.0
841,688029.SH,5.0
712,300726.SZ,5.0
641,300653.SZ,5.0
323,300327.SZ,5.0
490,300497.SZ,5.0
400,300406.SZ,5.0
656,300668.SZ,5.0
425,300432.SZ,5.0
475,300482.SZ,5.0
882,688178.SH,5.0
864,688106.SH,5.0
906,688318.SH,5.0
474,300481.SZ,5.0
439,300446.SZ,5.0
745,300763.SZ,5.0
463,300470.SZ,5.0
852,688080.SH,5.0
78,300080.SZ,5.0
832,688018.SH,5.0
649,300661.SZ,5.0
495,300502.SZ,5.0
687,300699.SZ,5.0
689,300701.SZ,5.0
366,300371.SZ,5.0
859,688096.SH,5.0
674,300686.SZ,4.0
456,300463.SZ,4.0
813,300838.SZ,4.0
825,688008.SH,4.0
672,300684.SZ,4.0
773,300795.SZ,4.0
580,300590.SZ,4.0
757,300777.SZ,4.0
746,300765.SZ,4.0
673,300685.SZ,4.0
555,300564.SZ,4.0
790,300813.SZ,4.0
810,300835.SZ,4.0
749,300768.SZ,4.0
805,300829.SZ,4.0
821,688004.SH,4.0
736,300753.SZ,4.0
678,300690.SZ,4.0
