"","index","code","name"
"1","1","300001.SZ","特 锐 德"
"2","2","300002.SZ","神州泰岳"
"3","3","300003.SZ","乐普医疗"
"4","4","300004.SZ","南风股份"
"5","5","300005.SZ","探 路 者"
"6","6","300006.SZ","莱美药业"
"7","7","300007.SZ","汉威科技"
"8","8","300008.SZ","天海防务"
"9","9","300009.SZ","安科生物"
"10","10","300010.SZ","立 思 辰"
"11","11","300011.SZ","鼎汉技术"
"12","12","300012.SZ","华测检测"
"13","13","300013.SZ","新宁物流"
"14","14","300014.SZ","亿纬锂能"
"15","15","300015.SZ","爱尔眼科"
"16","16","300016.SZ","北陆药业"
"17","17","300017.SZ","网宿科技"
"18","18","300018.SZ","中元股份"
"19","19","300019.SZ","硅宝科技"
"20","20","300020.SZ","银江股份"
"21","21","300021.SZ","大禹节水"
"22","22","300022.SZ","吉峰科技"
"23","23","300023.SZ","宝德股份"
"24","24","300024.SZ","机 器 人"
"25","25","300025.SZ","华星创业"
"26","26","300026.SZ","红日药业"
"27","27","300027.SZ","华谊兄弟"
"28","28","300028.SZ","金 亚 退"
"29","29","300029.SZ","天龙光电"
"30","30","300030.SZ","阳普医疗"
"31","31","300031.SZ","宝通科技"
"32","32","300032.SZ","金龙机电"
"33","33","300033.SZ","同 花 顺"
"34","34","300034.SZ","钢研高纳"
"35","35","300035.SZ","中科电气"
"36","36","300036.SZ","超图软件"
"37","37","300037.SZ","新 宙 邦"
"38","38","300038.SZ","数知科技"
"39","39","300039.SZ","上海凯宝"
"40","40","300040.SZ","九洲电气"
"41","41","300041.SZ","回天新材"
"42","42","300042.SZ","朗科科技"
"43","43","300043.SZ","星辉娱乐"
"44","44","300044.SZ","赛为智能"
"45","45","300045.SZ","华力创通"
"46","46","300046.SZ","台基股份"
"47","47","300047.SZ","天源迪科"
"48","48","300048.SZ","合康新能"
"49","49","300049.SZ","福瑞股份"
"50","50","300050.SZ","世纪鼎利"
"51","51","300051.SZ","三五互联"
"52","52","300052.SZ","中 青 宝"
"53","53","300053.SZ","欧 比 特"
"54","54","300054.SZ","鼎龙股份"
"55","55","300055.SZ","万 邦 达"
"56","56","300056.SZ","中创环保"
"57","57","300057.SZ","万顺新材"
"58","58","300058.SZ","蓝色光标"
"59","59","300059.SZ","东方财富"
"60","60","300061.SZ","旗天科技"
"61","61","300062.SZ","中能电气"
"62","62","300063.SZ","天龙集团"
"63","63","300064.SZ","豫金刚石"
"64","64","300065.SZ","海 兰 信"
"65","65","300066.SZ","三川智慧"
"66","66","300067.SZ","安 诺 其"
"67","67","300068.SZ","南都电源"
"68","68","300069.SZ","金利华电"
"69","69","300070.SZ","碧 水 源"
"70","70","300071.SZ","华谊嘉信"
"71","71","300072.SZ","三聚环保"
"72","72","300073.SZ","当升科技"
"73","73","300074.SZ","华平股份"
"74","74","300075.SZ","数字政通"
"75","75","300076.SZ","GQY 视讯"
"76","76","300077.SZ","国民技术"
"77","77","300078.SZ","思创医惠"
"78","78","300079.SZ","数码科技"
"79","79","300080.SZ","易成新能"
"80","80","300081.SZ","恒信东方"
"81","81","300082.SZ","奥克股份"
"82","82","300083.SZ","劲胜智能"
"83","83","300084.SZ","海默科技"
"84","84","300085.SZ","银 之 杰"
"85","85","300086.SZ","康芝药业"
"86","86","300087.SZ","荃银高科"
"87","87","300088.SZ","长信科技"
"88","88","300089.SZ","文化长城"
"89","89","300090.SZ","盛运环保"
"90","90","300091.SZ","金 通 灵"
"91","91","300092.SZ","科新机电"
"92","92","300093.SZ","金刚玻璃"
"93","93","300094.SZ","国联水产"
"94","94","300095.SZ","华伍股份"
"95","95","300096.SZ","易 联 众"
"96","96","300097.SZ","智云股份"
"97","97","300098.SZ","高 新 兴"
"98","98","300099.SZ","精准信息"
"99","99","300100.SZ","双林股份"
"100","100","300101.SZ","振芯科技"
"101","101","300102.SZ","乾照光电"
"102","102","300103.SZ","达刚控股"
"103","103","300104.SZ","乐 视 退"
"104","104","300105.SZ","龙源技术"
"105","105","300106.SZ","西部牧业"
"106","106","300107.SZ","建新股份"
"107","107","300108.SZ","吉药控股"
"108","108","300109.SZ","新 开 源"
"109","109","300110.SZ","华仁药业"
"110","110","300111.SZ","向 日 葵"
"111","111","300112.SZ","万讯自控"
"112","112","300113.SZ","顺网科技"
"113","113","300114.SZ","中航电测"
"114","114","300115.SZ","长盈精密"
"115","115","300116.SZ","坚瑞沃能"
"116","116","300117.SZ","嘉寓股份"
"117","117","300118.SZ","东方日升"
"118","118","300119.SZ","瑞普生物"
"119","119","300120.SZ","经纬辉开"
"120","120","300121.SZ","阳谷华泰"
"121","121","300122.SZ","智飞生物"
"122","122","300123.SZ","亚光科技"
"123","123","300124.SZ","汇川技术"
"124","124","300125.SZ","聆达股份"
