"","code","name","ROE_star","ROA_star","cashflow","liabilities"
"1","300001.SZ","特 锐 德",-7,-10,5.7878,75.4581
"2","300002.SZ","神州泰岳",-48,-38,9.2776,29.0779
"3","300003.SZ","乐普医疗",10,1,25.5307,49.7375
"4","300004.SZ","南风股份",-14,-13,15.4966,27.6513
"5","300005.SZ","探 路 者",-10,-11,2.5367,15.686
"6","300006.SZ","莱美药业",-25,-17,12.442,52.7699
"7","300007.SZ","汉威科技",-22,-13,17.8949,61.0523
"8","300008.SZ","天海防务",-77,-28,4.1864,80.0823
"9","300009.SZ","安科生物",-10,-9,17.2626,16.3097
"10","300010.SZ","立 思 辰",-14,-12,10.8843,53.215
"11","300011.SZ","鼎汉技术",-13,-11,6.7132,46.0543
"12","300012.SZ","华测检测",1,-1,24.9796,27.6449
"13","300013.SZ","新宁物流",-67,-38,0.452,56.6868
"14","300014.SZ","亿纬锂能",12,-1,17.7588,52.6728
"15","300015.SZ","爱尔眼科",7,4,20.8049,40.9594
"16","300016.SZ","北陆药业",11,13,19.1436,10.6731
"17","300017.SZ","网宿科技",-15,-14,10.1639,16.4477
"18","300018.SZ","中元股份",-10,-11,22.3432,11.4131
"19","300019.SZ","硅宝科技",1,0,8.0216,22.1538
"20","300020.SZ","银江股份",-10,-10,-5.7746,47.2145
"21","300021.SZ","大禹节水",-6,-8,-8.3679,58.977
"22","300022.SZ","吉峰科技",-110,-17,-4.1954,83.6543
"23","300023.SZ","宝德股份",-94,-30,408.286,16.4403
"24","300024.SZ","机 器 人",-10,-10,0.2407,33.8941
"25","300025.SZ","华星创业",-50,-23,13.2512,70.2726
"26","300026.SZ","红日药业",-9,-8,4.3195,16.0949
"27","300027.SZ","华谊兄弟",-76,-38,4.1326,54.5096
"28","300028.SZ","金 亚 退",-45,-34,-93.5276,39.2794
"29","300029.SZ","天龙光电",-108,-69,-66.0679,55.1699
"30","300030.SZ","阳普医疗",-12,-10,8.5491,44.3682
"31","300031.SZ","宝通科技",-3,-5,15.2907,34.3241
"32","300032.SZ","金龙机电",-12,-12,8.0928,38.7263
"33","300033.SZ","同 花 顺",9,4,69.9778,23.7954
"34","300034.SZ","钢研高纳",-7,-6,7.4574,31.5015
"35","300035.SZ","中科电气",-5,-6,1.2024,30.2484
"36","300036.SZ","超图软件",-4,-6,12.6821,30.628
"37","300037.SZ","新 宙 邦",-4,-6,24.137,32.3914
"38","300038.SZ","数知科技",-10,-9,-1.9544,24.5577
"39","300039.SZ","上海凯宝",-5,-4,23.5433,9.6045
"40","300040.SZ","九洲电气",-12,-11,7.0964,58.4717
"41","300041.SZ","回天新材",-6,-6,11.7595,37.5107
"42","300042.SZ","朗科科技",-8,-6,-9.0302,7.4606
"43","300043.SZ","星辉娱乐",-6,-6,31.6032,48.6492
"44","300044.SZ","赛为智能",-38,-23,28.4488,61.8341
"45","300045.SZ","华力创通",-23,-20,4.7414,26.0324
"46","300046.SZ","台基股份",-44,-37,6.0283,24.1351
"47","300047.SZ","天源迪科",-11,-9,-8.1078,42.5748
"48","300048.SZ","合康新能",-14,-13,23.0077,38.073
"49","300049.SZ","福瑞股份",-12,-8,30.8062,31.0486
"50","300050.SZ","世纪鼎利",-33,-27,1.6088,27.5234
"51","300051.SZ","三五互联",-72,-38,18.1673,61.3063
"52","300052.SZ","中 青 宝",-8,-9,0.6554,41.4575
"53","300053.SZ","欧 比 特",-23,-20,9.7971,25.8587
"54","300054.SZ","鼎龙股份",-14,-13,17.1993,7.2102
"55","300055.SZ","万 邦 达",-14,-15,7.6802,18.8362
"56","300056.SZ","中创环保",-17,-14,13.2629,43.1022
"57","300057.SZ","万顺新材",-11,-11,4.7186,50.1998
"58","300058.SZ","蓝色光标",-6,-8,2.4883,53.6674
"59","300059.SZ","东方财富",-5,-10,276.9863,65.693
"60","300061.SZ","旗天科技",-13,-12,10.9412,28.8735
"61","300062.SZ","中能电气",-12,-12,7.592,62.5684
"62","300063.SZ","天龙集团",-8,-9,-0.3031,58.5791
"63","300064.SZ","豫金刚石",-135,-74,-106.2826,76.4666
"64","300065.SZ","海 兰 信",-9,-9,-4.9319,18.9116
"65","300066.SZ","三川智慧",-4,-3,1.6237,14.4478
"66","300067.SZ","安 诺 其",-5,-4,11.5956,15.8334
"67","300068.SZ","南都电源",-9,-11,3.1252,51.9
"68","300069.SZ","金利华电",-10,-8,28.2146,35.1107
"69","300070.SZ","碧 水 源",-8,-10,27.1024,65.7033
"70","300071.SZ","华谊嘉信",-5,-9,4.7857,93.4305
"71","300072.SZ","三聚环保",-14,-12,41.8834,46.8912
"72","300073.SZ","当升科技",-22,-19,15.2099,25.4019
"73","300074.SZ","华平股份",-13,-13,0.1357,20.1722
"74","300075.SZ","数字政通",-9,-10,14.6149,23.9331
"75","300076.SZ","GQY 视讯",-13,-15,-12.6319,6.9517
"76","300077.SZ","国民技术",-6,-8,-17.8297,45.9972
"77","300078.SZ","思创医惠",-9,-9,0.2552,30.3102
"78","300079.SZ","数码科技",-13,-13,72.0439,12.9133
"79","300080.SZ","易成新能",5,1,18.5203,38.5451
"80","300081.SZ","恒信东方",-13,-11,-22.9902,17.149
"81","300082.SZ","奥克股份",-4,-5,19.8583,29.9197
"82","300083.SZ","劲胜智能",-15,-12,-5.9732,62.2
"83","300084.SZ","海默科技",-13,-11,4.9962,38.7777
"84","300085.SZ","银 之 杰",-15,-13,-4.5237,34.3898
"85","300086.SZ","康芝药业",-17,-14,4.4683,27.0046
"86","300087.SZ","荃银高科",0,-9,1.11,62.7548
"87","300088.SZ","长信科技",0,-2,24.6146,29.3548
"88","300089.SZ","文化长城",-13,-10,-5.0565,83.6352
"89","300090.SZ","盛运环保",106,-31,56.1254,141.1521
"90","300091.SZ","金 通 灵",-11,-11,0.5667,58.0319
